Year-Month,Method,Category,Format,TitleVolume,Activity,Unit,Sum
2017-08,GENLOAD,Book,Book,Titles,additions,Acquisitions,206
2017-08,GENLOAD,Book,Book,Volumes,additions,Acquisitions,206
2017-08,Manual,Book,Book,Titles,additions,Cataloging,167
2017-08,Manual,Book,Book,Titles,additions,Serials,29
2017-08,Manual,Book,Book,Titles,withdraws,Cataloging,-22
2017-08,Manual,Book,Book,Volumes,additions,Cataloging,190
2017-08,Manual,Book,Book,Volumes,additions,Serials,31
2017-08,Manual,Book,Book,Volumes,withdraws,Cataloging,-30
2017-08,Manual,Document,Document,Titles,additions,Serials,6
2017-08,Manual,Document,Document,Volumes,additions,Serials,88
2017-08,Manual,Media,CD-ROM,Titles,withdraws,Serials,-1
2017-08,Manual,Media,CD-ROM,Volumes,additions,Serials,2
2017-08,Manual,Media,CD-ROM,Volumes,withdraws,Serials,-1
2017-08,Manual,Media,DVD,Titles,additions,Cataloging,6
2017-08,Manual,Media,DVD,Titles,withdraws,Cataloging,-3
2017-08,Manual,Media,DVD,Volumes,additions,Cataloging,6
2017-08,Manual,Media,DVD,Volumes,withdraws,Cataloging,-3
2017-08,Manual,Media,Microform,Volumes,additions,Serials,1
2017-08,Manual,Other,Mixed,Titles,additions,Cataloging,29
2017-08,Manual,Other,Mixed,Volumes,additions,Cataloging,29
2017-08,Manual,Serials,Periodical,Titles,additions,Serials,8
2017-08,Manual,Serials,Periodical,Titles,withdraws,Serials,-21
2017-08,Manual,Serials,Periodical,Volumes,additions,Serials,358
2017-08,Manual,Serials,Periodical,Volumes,withdraws,Serials,-1133
2017-08,Manual,Serials,Serial,Titles,withdraws,Serials,-2
2017-08,Manual,Serials,Serial,Volumes,additions,Serials,30
2017-08,Manual,Serials,Serial,Volumes,withdraws,Serials,-15
2017-08,P-FILE-90,Book,Book,Titles,additions,Acquisitions,239
2017-08,P-FILE-90,Book,Book,Volumes,additions,Acquisitions,249
2017-08,P-FILE-90,eBook,eBook,Titles,additions,Acquisitions,58
2017-08,P-FILE-90,eBook,eBook,Volumes,additions,Acquisitions,85
2017-09,GENLOAD,Book,Book,Titles,additions,Acquisitions,73
2017-09,GENLOAD,Book,Book,Volumes,additions,Acquisitions,73
