Sum,YearMonth,Category,typeActivity
4,2018-11,eBook,Volumes Added
1034,2018-11,eContinuing,Titles Added
1034,2018-11,eContinuing,Volumes Added
416,2018-11,Book,Titles Added
17,2018-11,Book,Titles Added
-829,2018-11,Book,Titles Withdrawn
-14,2018-11,Book,Titles Withdrawn
467,2018-11,Book,Volumes Added
16,2018-11,Book,Volumes Added
-836,2018-11,Book,Volumes Withdrawn
-16,2018-11,Book,Volumes Withdrawn
2,2018-11,Continuing,Titles Added
5,2018-11,Continuing,Volumes Added
1,2018-11,Continuing,Titles Added
-2,2018-11,Continuing,Titles Withdrawn
32,2018-11,Continuing,Volumes Added
-9,2018-11,Continuing,Volumes Withdrawn
7,2018-11,Document,Titles Added
9,2018-11,Document,Volumes Added
-3946,2018-11,eBook,Titles Withdrawn
-3946,2018-11,eBook,Volumes Withdrawn
4,2018-11,Media,Titles Added
5,2018-11,Media,Volumes Added
1,2018-11,Other,Titles Added
1,2018-11,Other,Volumes Added
155,2018-11,Book,Titles Added
155,2018-11,Book,Volumes Added
251,2018-12,Book,Titles Added
49,2018-12,Book,Titles Added
-59,2018-12,Book,Titles Withdrawn
265,2018-12,Book,Volumes Added
54,2018-12,Book,Volumes Added
-63,2018-12,Book,Volumes Withdrawn
1,2018-12,Continuing,Volumes Added
1,2018-12,Continuing,Titles Added
-1,2018-12,Continuing,Titles Withdrawn
52,2018-12,Continuing,Volumes Added
-54,2018-12,Continuing,Volumes Withdrawn
-1134,2018-12,eBook,Titles Withdrawn
-1134,2018-12,eBook,Volumes Withdrawn
2,2018-12,Media,Titles Added
2,2018-12,Media,Volumes Added
1,2018-12,Media,Volumes Added
51,2018-12,Book,Titles Added
51,2018-12,Book,Volumes Added
